execucao,modelo_base,tupla,acuracia,precisao,recall,f1,tempo_treino,tempo_teste,tempo_total,tamanho
1,stride8,32,0.2602,0.25907011503703414,0.2602,0.256709814266348,0.6167521476745605,0.4063715934753418,1.0231237411499023,5707518
2,stride8,32,0.2563,0.25831318221175975,0.2563,0.2503726497755439,0.6136000156402588,0.4059910774230957,1.0195910930633545,5726418
3,stride8,32,0.2546,0.25404090560071435,0.25460000000000005,0.24899416128045773,0.6736855506896973,0.4088926315307617,1.082578182220459,5694774
4,stride8,32,0.2577,0.2558511943182132,0.2577,0.25243791532655857,0.6080315113067627,0.41208982467651367,1.0201213359832764,5712066
5,stride8,32,0.2522,0.25062697353485847,0.2522,0.24364836643678345,0.6441924571990967,0.41261863708496094,1.0568110942840576,5693790
6,stride8,32,0.2549,0.253921859063259,0.2549,0.24962444350686946,0.7000632286071777,0.443530797958374,1.1435940265655518,5686398
7,stride8,32,0.2633,0.25976324409754914,0.2633,0.2542477837709737,0.6083829402923584,0.40679407119750977,1.0151770114898682,5667030
8,stride8,32,0.2658,0.2642958366471099,0.26580000000000004,0.2603045477515339,0.6153185367584229,0.40947389602661133,1.0247924327850342,5680566
9,stride8,32,0.2599,0.25584063173321203,0.25989999999999996,0.251495340877947,0.6073098182678223,0.40828967094421387,1.0155994892120361,5683938
10,stride8,32,0.2577,0.2549776135391593,0.2577,0.25003697898393884,0.6465942859649658,0.4138767719268799,1.0604710578918457,5694006
1,stride8,64,0.1461,0.249886911087786,0.14609999999999998,0.11532651344368754,0.5183148384094238,0.26441240310668945,0.7827272415161133,3537102
2,stride8,64,0.1405,0.24972342205632722,0.14049999999999999,0.10746906312465072,0.5257906913757324,0.2628049850463867,0.7885956764221191,3544050
3,stride8,64,0.1436,0.24285960826937023,0.1436,0.10927730691982722,0.5220963954925537,0.26735997200012207,0.7894563674926758,3542202
4,stride8,64,0.1429,0.2561263580823542,0.14289999999999997,0.10901689684459129,0.5263552665710449,0.26450610160827637,0.7908613681793213,3543102
5,stride8,64,0.1413,0.2455067335906048,0.1413,0.10393269731834127,0.5221366882324219,0.2654561996459961,0.787592887878418,3544818
6,stride8,64,0.1461,0.25872102194663926,0.14609999999999998,0.11402291692535108,0.5153124332427979,0.26343321800231934,0.7787456512451172,3546066
7,stride8,64,0.1468,0.23548283349079827,0.14679999999999999,0.11324292109662684,0.5222899913787842,0.2642385959625244,0.7865285873413086,3538110
8,stride8,64,0.1481,0.26315672870565415,0.14809999999999998,0.11841537550922601,0.5210072994232178,0.26235365867614746,0.7833609580993652,3538926
9,stride8,64,0.1434,0.25289199237047216,0.1434,0.10810746211409508,0.5405049324035645,0.2682499885559082,0.8087549209594727,3541350
10,stride8,64,0.1474,0.247171328945691,0.1474,0.11613717594988879,0.5204567909240723,0.2670466899871826,0.7875034809112549,3539850
