execucao,modelo_base,epoca,acuracia,precisao,recall,f1,erro_treino,erro_teste,tempo_treino,tempo_teste,tempo_total
2,inception_v3,2,0.9347,0.9354268199955168,0.9347,0.9349146550555959,0.16751711059342642,0.18688554183882514,399.33948254585266,33.79520010948181,433.1346826553345
2,inception_v3,3,0.9295,0.9313024761638863,0.9295,0.9287243089198174,0.12450408448924875,0.21666076239554366,399.33172845840454,33.69805836677551,433.02978682518005
2,inception_v3,4,0.937,0.9376441176976315,0.937,0.9369929205075904,0.10268166218943836,0.19500817883475002,399.3353464603424,33.71329736709595,433.04864382743835
2,inception_v3,5,0.9359,0.9372344587045369,0.9359,0.9361045747061117,0.09051059926812396,0.20710586219029442,399.321658372879,33.674532651901245,432.9961910247803
2,inception_v3,6,0.9328,0.9353639306888001,0.9328,0.9331554117577483,0.07902581476644539,0.22769020395768677,399.3367693424225,33.96948599815369,433.3062553405762
2,inception_v3,7,0.941,0.941249314379635,0.9409999999999998,0.9410184673999262,0.07476657193869857,0.1944087738657643,399.347704410553,33.80070519447327,433.14840960502625
2,inception_v3,8,0.9385,0.9392345911534209,0.9385,0.9385705399771205,0.07235209490595353,0.20188167653266031,399.2718303203583,33.81778430938721,433.0896146297455
2,inception_v3,9,0.937,0.9382707452826086,0.937,0.9372031203105795,0.06630362836254614,0.21239503707357082,399.42225980758667,33.87040591239929,433.29266571998596
2,inception_v3,10,0.9332,0.9351409371061132,0.9332,0.9329818945875588,0.06357475211266238,0.24638747620829352,399.4054036140442,33.75383639335632,433.1592400074005
2,inception_v3,11,0.9413,0.9416011022322553,0.9413,0.9409952709766263,0.06045089577428301,0.2008838380574231,399.29366183280945,33.807979345321655,433.1016411781311
2,inception_v3,12,0.933,0.9353362648412581,0.933,0.9325815932895992,0.05241367616854451,0.2550165739064668,399.2867739200592,33.789794921875,433.0765688419342
2,inception_v3,13,0.9374,0.9376226319768524,0.9374,0.9371384601887577,0.05514384677563377,0.215094697572718,399.326292514801,33.7298481464386,433.0561406612396
2,inception_v3,14,0.9355,0.9366023842160531,0.9355,0.9355792422792362,0.05385134253523472,0.21604495038794483,399.385293006897,33.70426058769226,433.08955359458923
2,inception_v3,15,0.9444,0.9444958984249606,0.9443999999999999,0.9442265572226776,0.048662447151454055,0.18242918836415573,399.4244351387024,33.66779136657715,433.09222650527954
3,inception_v3,1,0.9257,0.9264011746570067,0.9257000000000002,0.9253653156931358,0.3630902003068143,0.2231551902783904,399.04966950416565,33.78793263435364,432.8376021385193
3,inception_v3,2,0.9353,0.9367862938640925,0.9353,0.9353428385013197,0.16980376560717364,0.19335682846748145,399.1520516872406,33.79514718055725,432.94719886779785
3,inception_v3,3,0.9344,0.935666387889496,0.9343999999999999,0.9345438799193658,0.12268549337139939,0.20394595928347795,399.13443064689636,33.7878839969635,432.92231464385986
3,inception_v3,4,0.9354,0.9357674601898308,0.9353999999999999,0.9353565142995862,0.10006622925562703,0.20557482981947578,399.16624546051025,33.779815435409546,432.9460608959198
3,inception_v3,5,0.9365,0.9380532202907954,0.9365,0.9365882264390268,0.09120784058530941,0.20988232604447443,399.3440215587616,33.83842897415161,433.1824505329132
3,inception_v3,6,0.938,0.9391082805408277,0.9380000000000001,0.9379433567365029,0.08145032774614137,0.20523815457323555,399.1544713973999,33.807013750076294,432.9614851474762
3,inception_v3,7,0.9339,0.9347076945899084,0.9338999999999998,0.9338438059776454,0.07570448082328662,0.21188930639771708,399.1787598133087,33.899970054626465,433.0787298679352
3,inception_v3,8,0.9415,0.9420834209184056,0.9415000000000001,0.9410045130783953,0.07172041181552335,0.20321997246782111,399.1689269542694,33.76914882659912,432.93807578086853
3,inception_v3,9,0.9404,0.9408442519860196,0.9404,0.9402625947983999,0.06744709567707556,0.1929852471443688,399.16022539138794,33.875893354415894,433.03611874580383
3,inception_v3,10,0.9362,0.9374207868546008,0.9362,0.9359873406288811,0.05891943427905574,0.21920474003525867,399.36357593536377,33.887677907943726,433.2512538433075
3,inception_v3,11,0.9376,0.9382720358454263,0.9376,0.9376812308859677,0.06505531246971596,0.21763751452942942,399.373085975647,33.79971122741699,433.17279720306396
3,inception_v3,12,0.9337,0.9347931044018987,0.9337,0.9336502810794227,0.055104111413271324,0.24623876769736314,399.3576364517212,33.88969540596008,433.2473318576813
3,inception_v3,13,0.9372,0.9384755279482565,0.9371999999999998,0.9373073639291857,0.054660448342707016,0.21927857617284083,399.33513855934143,33.87781381607056,433.212952375412
3,inception_v3,14,0.9343,0.9352798429127944,0.9343000000000001,0.9344789391315496,0.05201209204591801,0.2302876657029246,399.33072876930237,33.91732883453369,433.24805760383606
3,inception_v3,15,0.9298,0.9309241368143099,0.9298,0.9294832231308441,0.05556350811015424,0.24106891811854994,399.33106422424316,33.815027952194214,433.1460921764374
